Batch,Slug,Page Title,Category,Page Type,Status,Final Path,Source Slug / Note
08,cd-calculator,"CD Calculator – APY, Maturity Value & Early Withdrawal | CalcPro",Finance,Calculator,Completed,/cd-calculator/,
08,college-cost-calculator,"College Cost Calculator – Project Cost, Aid, Savings & Funding Gap | CalcPro",Education,Calculator,Completed,/college-cost-calculator/,
08,debt-consolidation-calculator,Debt Consolidation Calculator – Compare Current Debts vs One Loan | CalcPro,Finance,Calculator,Completed,/debt-consolidation-calculator/,
08,debt-payoff-calculator,Debt Payoff Calculator – Avalanche vs Snowball | CalcPro,Finance,Calculator,Completed,/debt-payoff-calculator/,
08,mutual-fund-calculator,"Mutual Fund Calculator – Contributions, Fees & Growth | CalcPro",Finance,Calculator,Completed,/mutual-fund-calculator/,
08,repayment-calculator,"Repayment Calculator – Payment, Term & Extra Payment | CalcPro",Finance,Calculator,Completed,/repayment-calculator/,
08,roth-ira-calculator,"Roth IRA Calculator 2026 – Contribution Limit, Eligibility & Growth | CalcPro",Finance,Calculator,Completed,/roth-ira-calculator/,
08,simple-interest-calculator,"Simple Interest Calculator – Principal, Rate, Time & Interest | CalcPro",Finance,Calculator,Completed,/simple-interest-calculator/,
08,student-loan-calculator,"Student Loan Calculator 2026 – Payment, Interest & In-School Accrual | CalcPro",Education,Calculator,Completed,/student-loan-calculator/,
09,auto-lease-calculator,Auto Lease Calculator | CalcPro,Finance,Calculator,Completed,/auto-lease-calculator/,
09,average-return-calculator,Average Return Calculator | CalcPro,Finance,Calculator,Completed,/average-return-calculator/,
09,business-loan-calculator,Business Loan Calculator | CalcPro,Finance,Calculator,Completed,/business-loan-calculator/,
09,cash-back-or-low-interest-calculator,Cash Back vs Low Interest Calculator | CalcPro,Finance,Calculator,Completed,/cash-back-or-low-interest-calculator/,
09,depreciation-calculator,Depreciation Calculator | CalcPro,Finance,Calculator,Completed,/depreciation-calculator/,
09,discount-calculator,Discount Calculator | CalcPro,Finance,Calculator,Completed,/discount-calculator/,
09,ira-calculator,IRA Calculator | CalcPro,Finance,Calculator,Completed,/ira-calculator/,
09,margin-calculator,Margin Calculator | CalcPro,Finance,Calculator,Completed,/margin-calculator/,
09,rmd-calculator,RMD Calculator | CalcPro,Finance,Calculator,Completed,/rmd-calculator/,
09,vat-calculator,VAT Calculator | CalcPro,Finance,Calculator,Completed,/vat-calculator/,
10,boat-loan-calculator,Boat Loan Calculator with Tax &amp; Trade-In | CalcPro,Finance,Calculator,Completed,/boat-loan-calculator/,
10,budget-calculator,Monthly Budget Calculator | CalcPro,Finance,Calculator,Completed,/budget-calculator/,
10,debt-ratio-calculator,Debt-to-Income Ratio Calculator (DTI) | CalcPro,Finance,Calculator,Completed,/debt-ratio-calculator/,
10,irr-calculator,IRR Calculator for Periodic Cash Flows | CalcPro,Finance,Calculator,Completed,/irr-calculator/,
10,lease-calculator,Lease Calculator — Payment or Effective Rate | CalcPro,Finance,Calculator,Completed,/lease-calculator/,
10,personal-loan-calculator,Personal Loan Calculator with Fees &amp; APR | CalcPro,Finance,Calculator,Completed,/personal-loan-calculator/,
10,real-estate-calculator,Real Estate Purchase Calculator | CalcPro,Finance,Calculator,Completed,/real-estate-calculator/,
10,refinance-calculator,Loan Refinance Calculator &amp; Break-Even | CalcPro,Finance,Calculator,Completed,/refinance-calculator/,
10,rental-property-calculator,"Rental Property ROI, Cap Rate &amp; IRR Calculator | CalcPro",Finance,Calculator,Completed,/rental-property-calculator/,
10,take-home-pay-calculator,2026 Take Home Pay Calculator | CalcPro,Finance,Calculator,Completed,/take-home-pay-calculator/,
11,apr-calculator,APR Calculator | CalcPro,Finance,Calculator,Completed,/apr-calculator/,
11,down-payment-calculator,Down Payment Calculator | CalcPro,Finance,Calculator,Completed,/down-payment-calculator/,
11,fha-loan-calculator,FHA Loan Calculator | CalcPro,Finance,Calculator,Completed,/fha-loan-calculator/,
11,heloc-calculator,HELOC Calculator | CalcPro,Finance,Calculator,Completed,/heloc-calculator/,
11,home-equity-loan-calculator,Home Equity Loan Calculator | CalcPro,Finance,Calculator,Completed,/home-equity-loan-calculator/,
11,payback-period-calculator,Payback Period Calculator | CalcPro,Finance,Calculator,Completed,/payback-period-calculator/,
11,present-value-calculator,Present Value Calculator | CalcPro,Finance,Calculator,Completed,/present-value-calculator/,
11,rent-vs-buy-calculator,Rent vs Buy Calculator | CalcPro,Finance,Calculator,Completed,/rent-vs-buy-calculator/,
11,roi-calculator,ROI Calculator | CalcPro,Finance,Calculator,Completed,/roi-calculator/,
11,va-mortgage-calculator,VA Mortgage Calculator | CalcPro,Finance,Calculator,Completed,/va-mortgage-calculator/,
12,army-body-fat-calculator,Army Body Fat Calculator | CalcPro,Health & Fitness,Calculator,Completed,/army-body-fat-calculator/,
12,calories-burned-calculator,Calories Burned Calculator | CalcPro,Health & Fitness,Calculator,Completed,/calories-burned-calculator/,
12,carbohydrate-calculator,Carbohydrate Calculator | CalcPro,Health & Fitness,Calculator,Completed,/carbohydrate-calculator/,
12,commission-calculator,Commission Calculator | CalcPro,Finance,Calculator,Completed,/commission-calculator/,
12,future-value-calculator,Future Value Calculator | CalcPro,Finance,Calculator,Completed,/future-value-calculator/,
12,healthy-weight-calculator,Healthy Weight Calculator | CalcPro,Health & Fitness,Calculator,Completed,/healthy-weight-calculator/,
12,lean-body-mass-calculator,Lean Body Mass Calculator | CalcPro,Health & Fitness,Calculator,Completed,/lean-body-mass-calculator/,
12,one-rep-max-calculator,One Rep Max Calculator | CalcPro,Health & Fitness,Calculator,Completed,/one-rep-max-calculator/,
12,protein-calculator,Protein Calculator | CalcPro,Health & Fitness,Calculator,Completed,/protein-calculator/,
12,target-heart-rate-calculator,Target Heart Rate Calculator | CalcPro,Health & Fitness,Calculator,Completed,/target-heart-rate-calculator/,
13,bac-calculator,BAC Calculator – Free Accurate Online Calculator,Health & Fitness,Calculator,Completed,/bac-calculator/,
13,body-surface-area-calculator,Body Surface Area Calculator – Free Accurate Online Calculator,Health & Fitness,Calculator,Completed,/body-surface-area-calculator/,
13,body-type-calculator,Body Type Calculator – Free Accurate Online Calculator,Lifestyle & Other,Calculator,Completed,/body-type-calculator/,
13,conception-calculator,Conception Calculator – Free Accurate Online Calculator,Health & Fitness,Calculator,Completed,/conception-calculator/,
13,fat-intake-calculator,Fat Intake Calculator – Free Accurate Online Calculator,Health & Fitness,Calculator,Completed,/fat-intake-calculator/,
13,gfr-calculator,GFR Calculator – Free Accurate Online Calculator,Health & Fitness,Calculator,Completed,/gfr-calculator/,
13,number-sequence-calculator,Number Sequence Calculator – Free Accurate Online Calculator,Math & Statistics,Calculator,Completed,/number-sequence-calculator/,
13,ovulation-calculator,Ovulation Calculator – Free Accurate Online Calculator,Health & Fitness,Calculator,Completed,/ovulation-calculator/,
13,period-calculator,Period Calculator – Free Accurate Online Calculator,Health & Fitness,Calculator,Completed,/period-calculator/,
13,tdee-calculator,TDEE Calculator – Free Accurate Online Calculator,Health & Fitness,Calculator,Completed,/tdee-calculator/,
14,area-calculator,Area Calculator | CalcPro,Math & Statistics,Calculator,Completed,/area-calculator/,
14,binary-calculator,Binary Calculator | CalcPro,Math & Statistics,Calculator,Completed,/binary-calculator/,
14,exponent-calculator,Exponent Calculator | CalcPro,Math & Statistics,Calculator,Completed,/exponent-calculator/,
14,half-life-calculator,Half-Life Calculator | CalcPro,Engineering & Science,Calculator,Completed,/half-life-calculator/,
14,hex-calculator,Hex Calculator | CalcPro,Math & Statistics,Calculator,Completed,/hex-calculator/,
14,log-calculator,Log Calculator | CalcPro,Math & Statistics,Calculator,Completed,/log-calculator/,
14,percent-error-calculator,Percent Error Calculator | CalcPro,Math & Statistics,Calculator,Completed,/percent-error-calculator/,
14,quadratic-formula-calculator,Quadratic Formula Calculator | CalcPro,Math & Statistics,Calculator,Completed,/quadratic-formula-calculator/,
14,sample-size-calculator,Sample Size Calculator | CalcPro,Math & Statistics,Calculator,Completed,/sample-size-calculator/,
14,slope-calculator,Slope Calculator | CalcPro,Math & Statistics,Calculator,Completed,/slope-calculator/,
15,circle-calculator,Circle Calculator | CalcPro,Math & Statistics,Calculator,Completed,/circle-calculator/,
15,confidence-interval-calculator,Confidence Interval Calculator | CalcPro,Math & Statistics,Calculator,Completed,/confidence-interval-calculator/,
15,distance-calculator,Distance Calculator | CalcPro,Math & Statistics,Calculator,Completed,/distance-calculator/,
15,mean-median-mode-range-calculator,Mean Median Mode Range Calculator | CalcPro,Math & Statistics,Calculator,Completed,/mean-median-mode-range-calculator/,
15,permutation-and-combination-calculator,Permutation &amp; Combination Calculator | CalcPro,Math & Statistics,Calculator,Completed,/permutation-and-combination-calculator/,Renamed from permutation-combination-calculator to match master list
15,probability-calculator,Probability Calculator | CalcPro,Math & Statistics,Calculator,Completed,/probability-calculator/,
15,ratio-calculator,Ratio Calculator | CalcPro,Math & Statistics,Calculator,Completed,/ratio-calculator/,
15,statistics-calculator,Statistics Calculator | CalcPro,Math & Statistics,Calculator,Completed,/statistics-calculator/,
15,surface-area-calculator,Surface Area Calculator | CalcPro,Math & Statistics,Calculator,Completed,/surface-area-calculator/,
15,z-score-calculator,Z-Score Calculator | CalcPro,Math & Statistics,Calculator,Completed,/z-score-calculator/,
16,big-number-calculator,Big Number Calculator | CalcPro,Math & Statistics,Calculator,Completed,/big-number-calculator/,
16,factor-calculator,Factor Calculator | CalcPro,Math & Statistics,Calculator,Completed,/factor-calculator/,
16,gcf-calculator,GCF Calculator | CalcPro,Math & Statistics,Calculator,Completed,/gcf-calculator/,
16,lcm-calculator,LCM Calculator | CalcPro,Math & Statistics,Calculator,Completed,/lcm-calculator/,
16,matrix-calculator,Matrix Calculator | CalcPro,Math & Statistics,Calculator,Completed,/matrix-calculator/,
16,pythagorean-theorem-calculator,Pythagorean Theorem Calculator | CalcPro,Math & Statistics,Calculator,Completed,/pythagorean-theorem-calculator/,
16,right-triangle-calculator,Right Triangle Calculator | CalcPro,Math & Statistics,Calculator,Completed,/right-triangle-calculator/,
16,root-calculator,Root Calculator | CalcPro,Math & Statistics,Calculator,Completed,/root-calculator/,
16,rounding-calculator,Rounding Calculator | CalcPro,Math & Statistics,Calculator,Completed,/rounding-calculator/,
16,scientific-notation-calculator,Scientific Notation Calculator | CalcPro,Math & Statistics,Calculator,Completed,/scientific-notation-calculator/,
17,btu-calculator,BTU Calculator | CalcPro,Construction & Home,Calculator,Completed,/btu-calculator/,
17,fuel-cost-calculator,Fuel Cost Calculator | CalcPro,Automotive & Transportation,Calculator,Completed,/fuel-cost-calculator/,
17,gas-mileage-calculator,Gas Mileage Calculator | CalcPro,Automotive & Transportation,Calculator,Completed,/gas-mileage-calculator/,
17,gdp-calculator,GDP Calculator | CalcPro,Finance,Calculator,Completed,/gdp-calculator/,
17,horsepower-calculator,Horsepower Calculator | CalcPro,Engineering & Science,Calculator,Completed,/horsepower-calculator/,
17,love-calculator,Love Calculator | CalcPro,Lifestyle & Other,Calculator,Completed,/love-calculator/,
17,square-footage-calculator,Square Footage Calculator | CalcPro,Construction & Home,Calculator,Completed,/square-footage-calculator/,
17,time-card-calculator,Time Card Calculator | CalcPro,Date & Time,Calculator,Completed,/time-card-calculator/,
17,time-zone-calculator,Time Zone Calculator | CalcPro,Date & Time,Calculator,Completed,/time-zone-calculator/,
17,voltage-drop-calculator,Voltage Drop Calculator | CalcPro,Engineering & Science,Calculator,Completed,/voltage-drop-calculator/,
18,density-calculator,Density Calculator – Accurate Online Calculator | CalcPro,Engineering & Science,Calculator,Completed,/density-calculator/,
18,electricity-calculator,Electricity Calculator – Accurate Online Calculator | CalcPro,Engineering & Science,Calculator,Completed,/electricity-calculator/,
18,engine-horsepower-calculator,Engine Horsepower Calculator – Accurate Online Calculator | CalcPro,Automotive & Transportation,Calculator,Completed,/engine-horsepower-calculator/,
18,mass-calculator,Mass Calculator – Accurate Online Calculator | CalcPro,Engineering & Science,Calculator,Completed,/mass-calculator/,
18,mileage-calculator,Mileage Calculator – Accurate Online Calculator | CalcPro,Automotive & Transportation,Calculator,Completed,/mileage-calculator/,
18,ohms-law-calculator,Ohm’s Law Calculator – Accurate Online Calculator | CalcPro,Engineering & Science,Calculator,Completed,/ohms-law-calculator/,
18,resistor-calculator,Resistor Calculator – Accurate Online Calculator | CalcPro,Engineering & Science,Calculator,Completed,/resistor-calculator/,
18,shoe-size-conversion,Shoe Size Conversion Calculator – Accurate Online Calculator | CalcPro,Conversion & Web,Calculator,Completed,/shoe-size-conversion/,
18,stair-calculator,Stair Calculator – Accurate Online Calculator | CalcPro,Construction & Home,Calculator,Completed,/stair-calculator/,
18,tip-calculator,Tip Calculator – Accurate Online Calculator | CalcPro,Finance,Calculator,Completed,/tip-calculator/,
19,golf-handicap-calculator,Golf Handicap Calculator – Free Accurate Online Calculator | CalcPro,Lifestyle & Other,Calculator,Completed,/golf-handicap-calculator/,
19,molarity-calculator,Molarity Calculator – Free Accurate Online Calculator | CalcPro,Engineering & Science,Calculator,Completed,/molarity-calculator/,
19,molecular-weight-calculator,Molecular Weight Calculator – Free Accurate Online Calculator | CalcPro,Engineering & Science,Calculator,Completed,/molecular-weight-calculator/,
19,roman-numeral-converter,Roman Numeral Converter – Free Accurate Online Calculator | CalcPro,Conversion & Web,Calculator,Completed,/roman-numeral-converter/,
19,roofing-calculator,Roofing Calculator – Free Accurate Online Calculator | CalcPro,Construction & Home,Calculator,Completed,/roofing-calculator/,
19,sleep-calculator,Sleep Calculator – Free Accurate Online Calculator | CalcPro,Health & Fitness,Calculator,Completed,/sleep-calculator/,
19,speed-calculator,Speed Calculator – Free Accurate Online Calculator | CalcPro,Automotive & Transportation,Calculator,Completed,/speed-calculator/,
19,tile-calculator,Tile Calculator – Free Accurate Online Calculator | CalcPro,Construction & Home,Calculator,Completed,/tile-calculator/,
19,tire-size-calculator,Tire Size Calculator – Free Accurate Online Calculator | CalcPro,Automotive & Transportation,Calculator,Completed,/tire-size-calculator/,
19,weight-calculator,Weight Calculator – Free Accurate Online Calculator | CalcPro,Conversion & Web,Calculator,Completed,/weight-calculator/,
20,bandwidth-calculator,Bandwidth Calculator | CalcPro,Conversion & Web,Calculator,Completed,/bandwidth-calculator/,
20,base64-encode-decode,Base64 Encode / Decode | CalcPro,Conversion & Web,Calculator,Completed,/base64-encode-decode/,
20,day-counter,Day Counter | CalcPro,Date & Time,Calculator,Completed,/day-counter/,
20,dew-point-calculator,Dew Point Calculator | CalcPro,Lifestyle & Other,Calculator,Completed,/dew-point-calculator/,
20,gravel-calculator,Gravel Calculator | CalcPro,Construction & Home,Calculator,Completed,/gravel-calculator/,
20,heat-index-calculator,Heat Index Calculator | CalcPro,Lifestyle & Other,Calculator,Completed,/heat-index-calculator/,
20,mulch-calculator,Mulch Calculator | CalcPro,Construction & Home,Calculator,Completed,/mulch-calculator/,
20,time-duration-calculator,Time Duration Calculator | CalcPro,Date & Time,Calculator,Completed,/time-duration-calculator/,
20,url-encode-decode,URL Encode / Decode | CalcPro,Conversion & Web,Calculator,Completed,/url-encode-decode/,
20,wind-chill-calculator,Wind Chill Calculator | CalcPro,Lifestyle & Other,Calculator,Completed,/wind-chill-calculator/,
21,about-us,About CalcPro – Transparent Calculators & Methodology,Other Tools,Info,Completed,/about-us/,
21,anorexic-bmi-calculator,"Anorexic BMI Calculator – BMI Screening Context, Not Diagnosis | CalcPro",Health & Fitness,Calculator,Completed,/anorexic-bmi-calculator/,
21,canadian-mortgage-calculator,Canadian Mortgage Calculator – Semi-Annual Compounding | CalcPro,Finance,Calculator,Completed,/canadian-mortgage-calculator/,
21,day-of-the-week-calculator,Day of the Week Calculator – Find the Weekday for Any Date | CalcPro,Date & Time,Calculator,Completed,/day-of-the-week-calculator/,
21,mortgage-amortization-calculator,Mortgage Amortization Calculator – Schedule Principal & Interest | CalcPro,Finance,Calculator,Completed,/mortgage-amortization-calculator/,
21,mortgage-calculator-uk,UK Mortgage Calculator – Monthly Repayment & Interest | CalcPro,Finance,Calculator,Completed,/mortgage-calculator-uk/,
21,overweight-calculator,Overweight Calculator – Adult BMI & Weight Range | CalcPro,Health & Fitness,Calculator,Completed,/overweight-calculator/,
21,percent-off-calculator,"Percent Off Calculator – Sale Price, Savings & Stackable Discounts | CalcPro",Finance,Calculator,Completed,/percent-off-calculator/,
21,prime-factorization-calculator,Prime Factorization Calculator – Prime Factors & Factor Tree | CalcPro,Math & Statistics,Calculator,Completed,/prime-factorization-calculator/,
21,sitemap,CalcPro Sitemap – Browse Calculators by Category,Other Tools,Info,Completed,/sitemap/,
21,weight-watchers-points-calculator,Weight Watchers Points Calculator – Historical WW Points Estimates | CalcPro,Health & Fitness,Calculator,Completed,/weight-watchers-points-calculator/,
22,average-calculator,"Average Calculator – Mean, Sum, Count & Median | CalcPro",Math & Statistics,Calculator,Completed,/average-calculator/,
22,basic-calculator,Basic Calculator – Free Online Arithmetic Calculator | CalcPro,Math & Statistics,Calculator,Completed,/basic-calculator/,
22,common-factor-calculator,Common Factor Calculator – Find All Shared Factors | CalcPro,Math & Statistics,Calculator,Completed,/common-factor-calculator/,
22,long-division-calculator,Long Division Calculator with Steps & Remainder | CalcPro,Math & Statistics,Calculator,Completed,/long-division-calculator/,
22,p-value-calculator,P-Value Calculator from Z-Score – Normal Distribution | CalcPro,Math & Statistics,Calculator,Completed,/p-value-calculator/,
