Tool,URL,Main category,Category URL,Subcategory,Subcategory URL
Canadian Mortgage Calculator,/canadian-mortgage-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Down Payment Calculator,/down-payment-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
FHA Loan Calculator,/fha-loan-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
HELOC Calculator,/heloc-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Home Equity Loan Calculator,/home-equity-loan-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
House Affordability Calculator,/house-affordability-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Refinance Calculator,/refinance-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Mortgage Amortization Calculator,/mortgage-amortization-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Mortgage Calculator,/mortgage-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Mortgage Calculator for Your Site,/mortgage-calculator-for-your-site/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Mortgage Payoff Calculator,/mortgage-payoff-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Real Estate Purchase Calculator,/real-estate-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Rent Calculator,/rent-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Rent vs Buy Calculator,/rent-vs-buy-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Rental Property Calculator,/rental-property-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
UK Mortgage Calculator,/mortgage-calculator-uk/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
VA Mortgage Calculator,/va-mortgage-calculator/,Finance,/finance/,Mortgages & Real Estate,/finance/mortgages-real-estate/
Annuity Calculator,/annuity-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Annuity Payout Calculator,/annuity-payout-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Average Return Calculator,/average-return-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Bond Calculator,/bond-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Cd Calculator,/cd-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Compound Interest Calculator,/compound-interest-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Finance Calculator,/finance-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Financial Calculator,/financial-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Future Value Calculator,/future-value-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Interest Calculator,/interest-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Investment Calculator,/investment-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
IRR Calculator,/irr-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Mutual Fund Calculator,/mutual-fund-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Present Value Calculator,/present-value-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
ROI Calculator,/roi-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Savings Calculator,/savings-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
Simple Interest Calculator,/simple-interest-calculator/,Finance,/finance/,Investing & Interest,/finance/investing-interest/
401(k) Calculator,/401k-calculator/,Finance,/finance/,Retirement,/finance/retirement/
IRA Calculator,/ira-calculator/,Finance,/finance/,Retirement,/finance/retirement/
Pension Calculator,/pension-calculator/,Finance,/finance/,Retirement,/finance/retirement/
Retirement Calculator,/retirement-calculator/,Finance,/finance/,Retirement,/finance/retirement/
RMD Calculator,/rmd-calculator/,Finance,/finance/,Retirement,/finance/retirement/
Roth IRA Calculator,/roth-ira-calculator/,Finance,/finance/,Retirement,/finance/retirement/
Social Security Calculator,/social-security-calculator/,Finance,/finance/,Retirement,/finance/retirement/
Commission Calculator,/commission-calculator/,Finance,/finance/,Business & Economics,/finance/business-economics/
Depreciation Calculator,/depreciation-calculator/,Finance,/finance/,Business & Economics,/finance/business-economics/
GDP Calculator,/gdp-calculator/,Finance,/finance/,Business & Economics,/finance/business-economics/
Inflation Calculator,/inflation-calculator/,Finance,/finance/,Business & Economics,/finance/business-economics/
Margin Calculator,/margin-calculator/,Finance,/finance/,Business & Economics,/finance/business-economics/
Payback Period Calculator,/payback-period-calculator/,Finance,/finance/,Business & Economics,/finance/business-economics/
Budget Calculator,/budget-calculator/,Finance,/finance/,Everyday Money,/finance/everyday-money/
Discount Calculator,/discount-calculator/,Finance,/finance/,Everyday Money,/finance/everyday-money/
Percent Off Calculator,/percent-off-calculator/,Finance,/finance/,Everyday Money,/finance/everyday-money/
Tip Calculator,/tip-calculator/,Finance,/finance/,Everyday Money,/finance/everyday-money/
Anorexic BMI Calculator,/anorexic-bmi-calculator/,Health & Fitness,/health/,BMI & Weight,/health/bmi-weight/
Army Body Fat Calculator,/army-body-fat-calculator/,Health & Fitness,/health/,BMI & Weight,/health/bmi-weight/
BMI Calculator,/bmi-calculator/,Health & Fitness,/health/,BMI & Weight,/health/bmi-weight/
Body Fat Calculator,/body-fat-calculator/,Health & Fitness,/health/,BMI & Weight,/health/bmi-weight/
Healthy Weight Calculator,/healthy-weight-calculator/,Health & Fitness,/health/,BMI & Weight,/health/bmi-weight/
Ideal Weight Calculator,/ideal-weight-calculator/,Health & Fitness,/health/,BMI & Weight,/health/bmi-weight/
Lean Body Mass Calculator,/lean-body-mass-calculator/,Health & Fitness,/health/,BMI & Weight,/health/bmi-weight/
Overweight Calculator,/overweight-calculator/,Health & Fitness,/health/,BMI & Weight,/health/bmi-weight/
BMR Calculator,/bmr-calculator/,Health & Fitness,/health/,Calories & Nutrition,/health/calories-nutrition/
Calorie Calculator,/calorie-calculator/,Health & Fitness,/health/,Calories & Nutrition,/health/calories-nutrition/
Carbohydrate Calculator,/carbohydrate-calculator/,Health & Fitness,/health/,Calories & Nutrition,/health/calories-nutrition/
Fat Intake Calculator,/fat-intake-calculator/,Health & Fitness,/health/,Calories & Nutrition,/health/calories-nutrition/
Macro Calculator,/macro-calculator/,Health & Fitness,/health/,Calories & Nutrition,/health/calories-nutrition/
Protein Calculator,/protein-calculator/,Health & Fitness,/health/,Calories & Nutrition,/health/calories-nutrition/
TDEE Calculator,/tdee-calculator/,Health & Fitness,/health/,Calories & Nutrition,/health/calories-nutrition/
Weight Watchers Points Calculator,/weight-watchers-points-calculator/,Health & Fitness,/health/,Calories & Nutrition,/health/calories-nutrition/
Calories Burned Calculator,/calories-burned-calculator/,Health & Fitness,/health/,Fitness & Exercise,/health/fitness-exercise/
Fitness & Health Calculator,/fitness-and-health-calculator/,Health & Fitness,/health/,Fitness & Exercise,/health/fitness-exercise/
One Rep Max Calculator,/one-rep-max-calculator/,Health & Fitness,/health/,Fitness & Exercise,/health/fitness-exercise/
Pace Calculator,/pace-calculator/,Health & Fitness,/health/,Fitness & Exercise,/health/fitness-exercise/
Target Heart Rate Calculator,/target-heart-rate-calculator/,Health & Fitness,/health/,Fitness & Exercise,/health/fitness-exercise/
Conception Calculator,/conception-calculator/,Health & Fitness,/health/,Pregnancy & Reproductive Health,/health/pregnancy-reproductive-health/
Due Date Calculator,/due-date-calculator/,Health & Fitness,/health/,Pregnancy & Reproductive Health,/health/pregnancy-reproductive-health/
Ovulation Calculator,/ovulation-calculator/,Health & Fitness,/health/,Pregnancy & Reproductive Health,/health/pregnancy-reproductive-health/
Period Calculator,/period-calculator/,Health & Fitness,/health/,Pregnancy & Reproductive Health,/health/pregnancy-reproductive-health/
Pregnancy Calculator,/pregnancy-calculator/,Health & Fitness,/health/,Pregnancy & Reproductive Health,/health/pregnancy-reproductive-health/
Pregnancy Conception Calculator,/pregnancy-conception-calculator/,Health & Fitness,/health/,Pregnancy & Reproductive Health,/health/pregnancy-reproductive-health/
Pregnancy Weight Gain Calculator,/pregnancy-weight-gain-calculator/,Health & Fitness,/health/,Pregnancy & Reproductive Health,/health/pregnancy-reproductive-health/
BAC Calculator,/bac-calculator/,Health & Fitness,/health/,Medical & Wellness,/health/medical-wellness/
Body Surface Area Calculator,/body-surface-area-calculator/,Health & Fitness,/health/,Medical & Wellness,/health/medical-wellness/
GFR Calculator,/gfr-calculator/,Health & Fitness,/health/,Medical & Wellness,/health/medical-wellness/
Height Calculator,/height-calculator/,Health & Fitness,/health/,Medical & Wellness,/health/medical-wellness/
Sleep Calculator,/sleep-calculator/,Health & Fitness,/health/,Medical & Wellness,/health/medical-wellness/
Basic Calculator,/basic-calculator/,Math & Statistics,/math/,General Math,/math/general-math/
Big Number Calculator,/big-number-calculator/,Math & Statistics,/math/,General Math,/math/general-math/
Fraction Calculator,/fraction-calculator/,Math & Statistics,/math/,General Math,/math/general-math/
Long Division Calculator,/long-division-calculator/,Math & Statistics,/math/,General Math,/math/general-math/
Math Calculator,/math-calculator/,Math & Statistics,/math/,General Math,/math/general-math/
Math Calculator for Your Site,/math-calculator-for-your-site/,Math & Statistics,/math/,General Math,/math/general-math/
Rounding Calculator,/rounding-calculator/,Math & Statistics,/math/,General Math,/math/general-math/
Scientific Calculator,/scientific-calculator/,Math & Statistics,/math/,General Math,/math/general-math/
Scientific Calculator for Your Site,/scientific-calculator-for-your-site/,Math & Statistics,/math/,General Math,/math/general-math/
Binary Calculator,/binary-calculator/,Math & Statistics,/math/,Number Theory & Number Systems,/math/number-theory-number-systems/
Common Factor Calculator,/common-factor-calculator/,Math & Statistics,/math/,Number Theory & Number Systems,/math/number-theory-number-systems/
Factor Calculator,/factor-calculator/,Math & Statistics,/math/,Number Theory & Number Systems,/math/number-theory-number-systems/
GCF Calculator,/gcf-calculator/,Math & Statistics,/math/,Number Theory & Number Systems,/math/number-theory-number-systems/
Hex Calculator,/hex-calculator/,Math & Statistics,/math/,Number Theory & Number Systems,/math/number-theory-number-systems/
LCM Calculator,/lcm-calculator/,Math & Statistics,/math/,Number Theory & Number Systems,/math/number-theory-number-systems/
Prime Factorization Calculator,/prime-factorization-calculator/,Math & Statistics,/math/,Number Theory & Number Systems,/math/number-theory-number-systems/
Exponent Calculator,/exponent-calculator/,Math & Statistics,/math/,Algebra,/math/algebra/
Log Calculator,/log-calculator/,Math & Statistics,/math/,Algebra,/math/algebra/
Matrix Calculator,/matrix-calculator/,Math & Statistics,/math/,Algebra,/math/algebra/
Number Sequence Calculator,/number-sequence-calculator/,Math & Statistics,/math/,Algebra,/math/algebra/
Quadratic Formula Calculator,/quadratic-formula-calculator/,Math & Statistics,/math/,Algebra,/math/algebra/
Ratio Calculator,/ratio-calculator/,Math & Statistics,/math/,Algebra,/math/algebra/
Root Calculator,/root-calculator/,Math & Statistics,/math/,Algebra,/math/algebra/
Scientific Notation Calculator,/scientific-notation-calculator/,Math & Statistics,/math/,Algebra,/math/algebra/
Slope Calculator,/slope-calculator/,Math & Statistics,/math/,Algebra,/math/algebra/
Area Calculator,/area-calculator/,Math & Statistics,/math/,Geometry,/math/geometry/
Circle Calculator,/circle-calculator/,Math & Statistics,/math/,Geometry,/math/geometry/
Distance Calculator,/distance-calculator/,Math & Statistics,/math/,Geometry,/math/geometry/
Pythagorean Theorem Calculator,/pythagorean-theorem-calculator/,Math & Statistics,/math/,Geometry,/math/geometry/
Right Triangle Calculator,/right-triangle-calculator/,Math & Statistics,/math/,Geometry,/math/geometry/
Surface Area Calculator,/surface-area-calculator/,Math & Statistics,/math/,Geometry,/math/geometry/
Triangle Calculator,/triangle-calculator/,Math & Statistics,/math/,Geometry,/math/geometry/
Volume Calculator,/volume-calculator/,Math & Statistics,/math/,Geometry,/math/geometry/
Average Calculator,/average-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Confidence Interval Calculator,/confidence-interval-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Dice Roller,/dice-roller/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Mean Median Mode Range Calculator,/mean-median-mode-range-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
P-Value Calculator,/p-value-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Permutation & Combination Calculator,/permutation-and-combination-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Probability Calculator,/probability-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Random Number Generator,/random-number-generator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Sample Size Calculator,/sample-size-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Standard Deviation Calculator,/standard-deviation-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Statistics Calculator,/statistics-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Z-Score Calculator,/z-score-calculator/,Math & Statistics,/math/,Statistics & Probability,/math/statistics-probability/
Percent Calculator,/percent-calculator/,Math & Statistics,/math/,Percentages & Error,/math/percentages-error/
Percent Error Calculator,/percent-error-calculator/,Math & Statistics,/math/,Percentages & Error,/math/percentages-error/
Age Calculator,/age-calculator/,Date & Time,/date-time/,Dates & Calendars,/date-time/dates-calendars/
Date Calculator,/date-calculator/,Date & Time,/date-time/,Dates & Calendars,/date-time/dates-calendars/
Day Counter,/day-counter/,Date & Time,/date-time/,Dates & Calendars,/date-time/dates-calendars/
Day of the Week Calculator,/day-of-the-week-calculator/,Date & Time,/date-time/,Dates & Calendars,/date-time/dates-calendars/
Hours Calculator,/hours-calculator/,Date & Time,/date-time/,Time & Duration,/date-time/time-duration/
Time Calculator,/time-calculator/,Date & Time,/date-time/,Time & Duration,/date-time/time-duration/
Time Duration Calculator,/time-duration-calculator/,Date & Time,/date-time/,Time & Duration,/date-time/time-duration/
Time Zone Calculator,/time-zone-calculator/,Date & Time,/date-time/,Time & Duration,/date-time/time-duration/
Time Card Calculator,/time-card-calculator/,Date & Time,/date-time/,Time & Duration,/date-time/time-duration/
Concrete Calculator,/concrete-calculator/,Construction & Home,/construction/,Concrete & Materials,/construction/concrete-materials/
Concrete Calculator for Your Site,/concrete-calculator-for-your-site/,Construction & Home,/construction/,Concrete & Materials,/construction/concrete-materials/
Gravel Calculator,/gravel-calculator/,Construction & Home,/construction/,Concrete & Materials,/construction/concrete-materials/
Mulch Calculator,/mulch-calculator/,Construction & Home,/construction/,Concrete & Materials,/construction/concrete-materials/
Roofing Calculator,/roofing-calculator/,Construction & Home,/construction/,Building & Remodeling,/construction/building-remodeling/
Square Footage Calculator,/square-footage-calculator/,Construction & Home,/construction/,Building & Remodeling,/construction/building-remodeling/
Stair Calculator,/stair-calculator/,Construction & Home,/construction/,Building & Remodeling,/construction/building-remodeling/
Tile Calculator,/tile-calculator/,Construction & Home,/construction/,Building & Remodeling,/construction/building-remodeling/
BTU Calculator,/btu-calculator/,Construction & Home,/construction/,HVAC & Home Energy,/construction/hvac-home-energy/
Electricity Calculator,/electricity-calculator/,Engineering & Science,/engineering/,Electrical & Electronics,/engineering/electrical-electronics/
Ohm’s Law Calculator,/ohms-law-calculator/,Engineering & Science,/engineering/,Electrical & Electronics,/engineering/electrical-electronics/
Resistor Calculator,/resistor-calculator/,Engineering & Science,/engineering/,Electrical & Electronics,/engineering/electrical-electronics/
Voltage Drop Calculator,/voltage-drop-calculator/,Engineering & Science,/engineering/,Electrical & Electronics,/engineering/electrical-electronics/
Density Calculator,/density-calculator/,Engineering & Science,/engineering/,Physics & Mechanics,/engineering/physics-mechanics/
Half Life Calculator,/half-life-calculator/,Engineering & Science,/engineering/,Physics & Mechanics,/engineering/physics-mechanics/
Horsepower Calculator,/horsepower-calculator/,Engineering & Science,/engineering/,Physics & Mechanics,/engineering/physics-mechanics/
Mass Calculator,/mass-calculator/,Engineering & Science,/engineering/,Physics & Mechanics,/engineering/physics-mechanics/
Molarity Calculator,/molarity-calculator/,Engineering & Science,/engineering/,Chemistry,/engineering/chemistry/
Molecular Weight Calculator,/molecular-weight-calculator/,Engineering & Science,/engineering/,Chemistry,/engineering/chemistry/
Fuel Cost Calculator,/fuel-cost-calculator/,Automotive & Transportation,/automotive/,Fuel & Mileage,/automotive/fuel-mileage/
Gas Mileage Calculator,/gas-mileage-calculator/,Automotive & Transportation,/automotive/,Fuel & Mileage,/automotive/fuel-mileage/
Mileage Calculator,/mileage-calculator/,Automotive & Transportation,/automotive/,Fuel & Mileage,/automotive/fuel-mileage/
Engine Horsepower Calculator,/engine-horsepower-calculator/,Automotive & Transportation,/automotive/,Performance & Vehicle Size,/automotive/performance-vehicle-size/
Speed Calculator,/speed-calculator/,Automotive & Transportation,/automotive/,Performance & Vehicle Size,/automotive/performance-vehicle-size/
Tire Size Calculator,/tire-size-calculator/,Automotive & Transportation,/automotive/,Performance & Vehicle Size,/automotive/performance-vehicle-size/
Conversion Calculator,/conversion-calculator/,Conversion & Web,/conversion/,Unit & Size Conversion,/conversion/unit-size-conversion/
Shoe Size Conversion Calculator,/shoe-size-conversion/,Conversion & Web,/conversion/,Unit & Size Conversion,/conversion/unit-size-conversion/
Weight Calculator,/weight-calculator/,Conversion & Web,/conversion/,Unit & Size Conversion,/conversion/unit-size-conversion/
Currency Calculator,/currency-calculator/,Conversion & Web,/conversion/,Currency Conversion,/conversion/currency-conversion/
Roman Numeral Converter,/roman-numeral-converter/,Conversion & Web,/conversion/,Number & Format Conversion,/conversion/number-format-conversion/
Bandwidth Calculator,/bandwidth-calculator/,Conversion & Web,/conversion/,Web & Network Utilities,/conversion/web-network-utilities/
Base64 Encode / Decode,/base64-encode-decode/,Conversion & Web,/conversion/,Web & Network Utilities,/conversion/web-network-utilities/
IP Subnet Calculator,/ip-subnet-calculator/,Conversion & Web,/conversion/,Web & Network Utilities,/conversion/web-network-utilities/
Password Generator,/password-generator/,Conversion & Web,/conversion/,Web & Network Utilities,/conversion/web-network-utilities/
URL Encode / Decode,/url-encode-decode/,Conversion & Web,/conversion/,Web & Network Utilities,/conversion/web-network-utilities/
GPA Calculator,/gpa-calculator/,Education,/education/,Grades & GPA,/education/grades-gpa/
Grade Calculator,/grade-calculator/,Education,/education/,Grades & GPA,/education/grades-gpa/
College Cost Calculator,/college-cost-calculator/,Education,/education/,College Finance,/education/college-finance/
Student Loan Calculator,/student-loan-calculator/,Education,/education/,College Finance,/education/college-finance/
Body Type Calculator,/body-type-calculator/,Lifestyle & Other,/other/,Body & Clothing,/other/body-clothing/
Bra Size Calculator,/bra-size-calculator/,Lifestyle & Other,/other/,Body & Clothing,/other/body-clothing/
Golf Handicap Calculator,/golf-handicap-calculator/,Lifestyle & Other,/other/,Sports & Recreation,/other/sports-recreation/
Dew Point Calculator,/dew-point-calculator/,Lifestyle & Other,/other/,Weather,/other/weather/
Heat Index Calculator,/heat-index-calculator/,Lifestyle & Other,/other/,Weather,/other/weather/
Wind Chill Calculator,/wind-chill-calculator/,Lifestyle & Other,/other/,Weather,/other/weather/
Love Calculator,/love-calculator/,Lifestyle & Other,/other/,Fun & Entertainment,/other/fun-entertainment/
Love Calculator for Your Site,/love-calculator-for-your-site/,Lifestyle & Other,/other/,Fun & Entertainment,/other/fun-entertainment/
